key_question,key_image,original_question,question,choices,correct_index,use_case
516,100,What mechanism could explain the presence of the target protein at the subcellular locations in the image?,"Question:
A confocal microscopy image of U-251MG cells stained with DAPI (blue), α-tubulin (red), and a target protein (green) shows the target protein localized at focal adhesion sites, centrosomes, and in the cytosol. What mechanism most likely explains the distribution of the target protein across these subcellular locations?","['Protein degradation mediated by the ubiquitin-proteasome system', 'Translocation driven by dynamic phosphorylation and dephosphorylation', 'Passive diffusion due to the small size of the protein', 'Aggregation caused by protein misfolding']",1,
517,100,Does the subcellular location of the target protein vary between the cells?,"Question:
Confocal microscopy images of U-251MG cells are stained with DAPI (blue) for nuclei, antibodies against α-tubulin (red) for microtubules, and a target protein (green). Images {img_0} and {img_1} display the same field of view in different focal planes. The target protein is observed at focal adhesion sites and in the cytosol of all cells, but it is not visible in the centrosome. What is the most likely reason for the absence of centrosomal staining of the target protein?","['The target protein is not present in the centrosome.', 'The focal plane used did not capture the centrosome region.', 'The staining protocol was ineffective for the centrosome.', 'The target protein is degraded in the centrosome.']",1,
518,101,"What is interesting about the internal contrast seen in the 2D class averages of {img_1}, and why might this be important for structural analysis?","Question:
A micrograph of Apoferritin captured using a 300 kV Titan Krios G3i electron microscope with a K3 detector shows individual particles embedded in vitreous ice (Image 0). A corresponding Image 1 displays 2D class averages of Apoferritin generated using cryoSPARC, where similar particle orientations have been averaged to enhance structural detail and improve the signal-to-noise ratio. Both images are grayscale, with intensity levels representing electron density, where darker areas correspond to regions of higher density associated with the protein structure.

What does the internal contrast observed in the 2D class averages of Image 1 most likely indicate, and why is this significant for structural analysis?","['Increased signal-to-noise ratio, which facilitates the detection of smaller particles', 'Distinct sub-structures within Apoferritin, aiding in the identification of specific protein domains', 'Aggregation of protein particles, which may hinder accurate 3D reconstruction', 'Variability in particle orientation, enhancing the diversity of views for analysis']",1,
519,101,"What is unusual about the distribution of particles in {img_0}, and why might this be significant?","Question:
A cryo-electron microscopy (Cryo-EM) image of Apoferritin particles (Image img_0) shows a more uniform distribution of particles embedded in vitreous ice than typically expected. Why is this uniform distribution significant for Cryo-EM studies?","['It indicates the presence of multiple conformations of Apoferritin, enhancing structural diversity.', 'It suggests that the particles are in a monodisperse state, which is ideal for high-resolution structure determination.', 'It reveals that the sample has a high concentration of impurities, which can obscure particle images.', 'It demonstrates that the imaging conditions led to preferential orientation of particles, simplifying data analysis.']",1,
520,101,What could be the underlying mechanism leading to the variability in internal contrast among the different 2D class averages in  {img_1}?,"Question:
In the 2D class averages of Apoferritin shown in the electron microscopy image, there is noticeable variability in internal contrast among different classes. What is the most likely mechanism underlying this variability?","['Differences in particle orientation leading to varying structural detail', 'Inconsistent staining procedures affecting electron density', 'Variations in sample thickness causing differential electron scattering', 'Artifact formation due to fluctuations in microscope calibration']",0,
521,101,"It is difficult to use the ""Blob Picker"" job that capture the right sets of Apoferritin from the micrographs, why is that and what should i do to fix that?  ","Question:
A researcher is analyzing micrographs of Apoferritin captured using a Titan Krios electron microscope. The images show individual Apoferritin particles embedded in vitreous ice, and 2D class averages reveal that Apoferritin has a hollow center. When using cryoSPARCs automated ""Blob Picker"" to identify particles, the researcher encounters difficulties in accurately selecting the correct sets of Apoferritin particles. What is the most likely reason for this difficulty, and what should the researcher do to resolve it?","['The high electron density of Apoferritin causes image saturation; the researcher should reduce the electron dose during imaging.', ""The hollow center of Apoferritin disrupts the particle's center of gravity, hindering automated identification; the researcher should switch to manual particle picking."", 'Vitreous ice embedding obscures the protein structure; the researcher should use a different staining technique to enhance contrast.', 'The K3 detector has a low signal-to-noise ratio for Apoferritin; the researcher should upgrade to a higher-sensitivity detector.']",1,
522,101,"After analyzing the 2D class averages of Apoferritin, what steps should you take to refine the 3D reconstruction, and why are these steps important for achieving high-resolution structural data?","Question:
A researcher has obtained 2D class averages of Apoferritin from cryo-electron microscopy data. What is the most appropriate next step to refine the 3D reconstruction, and why is this step important for achieving high-resolution structural data?","['Increase the electron dose to obtain more particles', 'Perform a focused refinement on regions of interest and apply symmetry constraints', 'Use lower magnification imaging to capture larger structures', 'Switch to a different detector to enhance image contrast']",1,
523,102,What is the Lamp-1 mechanism in the wild type condition?,"Question:
A fluorescence microscopy image displays wild-type and BT-IgSF–deficient astrocytes stained with Cx43 and Lamp-1 antibodies. What is the primary function of Lamp-1 in wild-type astrocytes?","['Facilitates the transport of neurotransmitters across synapses', 'Serves as a receptor for cell signaling pathways', 'Lines the lysosome limiting membrane and protects it from lysosomal hydrolase action', 'Promotes the assembly of the actin cytoskeleton']",2,
524,102,What is the difference in Cx43 between the two conditions?,"Question:
Wild-type and BT-IgSF–deficient astrocytes were stained with Cx43 and Lamp-1 antibodies. What difference in Cx43 localization is observed in BT-IgSF–deficient astrocytes compared to wild-type?","['Decreased expression of Cx43', 'Increased expression of Cx43', 'Increased colocalization of Cx43 with Lamp-1', 'No change in Cx43 localization']",2,
525,102,Why do we see areas of higher intensity of Lamp-1 in the control condition?,"Question:
A fluorescence microscopy image displays wild-type and BT-IgSF–deficient astrocytes stained with Cx43 and Lamp-1 antibodies. In the control (wild-type) condition, areas of higher Lamp-1 intensity are observed. What is the most likely reason for the increased Lamp-1 intensity in the control condition?","['Enhanced lysosomal degradation pathways in control cells', 'Increased concentration of Lamp-1 in the Golgi apparatus', 'Overexpression of Lamp-1 due to adipogenic signaling', 'Reduced Lamp-1 degradation in BT-IgSF–deficient cells']",1,
526,102,What does the colocalization of Lamp-1 and cx43 signify?,"Question:
In a fluorescence microscopy image of wild-type and BT-IgSF–deficient astrocytes stained with Cx43 and Lamp-1 antibodies, colocalization of Lamp-1 and Cx43 is observed. What does this colocalization most likely indicate?","['Enhanced gap junction communication between astrocytes', 'Increased synthesis of Cx43 at the plasma membrane', 'Lysosomal degradation of Cx43', 'Recruitment of Cx43 to the cytoskeleton for structural support']",2,
527,102,What can we do to see the affect of Lamp-1 on cx43?,"Question:
In an experiment, wild-type and BT-IgSF–deficient astrocytes are stained with antibodies against Cx43 and Lamp-1 (lysosomal-associated membrane protein 1). What is the most appropriate experimental approach to determine the effect of Lamp-1 on Cx43?","['Overexpress Lamp-1 in wild-type astrocytes and assess Cx43 localization.', 'Knockout other lysosomal proteins in BT-IgSF–deficient astrocytes and image Cx43 at different stages.', 'Use siRNA to silence Cx43 in wild-type astrocytes and evaluate Lamp-1 expression.', 'Treat wild-type astrocytes with a Lamp-1 inhibitor and measure Cx43 mRNA levels.']",1,
528,103,Why is the NCAN N-terminal around the nucleus?,"Question:
A confocal fluorescence microscopy image of cultured human neurons shows that NCAN N-terminal fragments are localized around the nucleus within perineuronal nets (PNNs). What is the most likely reason for the specific localization of NCAN N-terminal fragments around the nucleus?","['NCAN N-terminal fragments are involved in synaptic formation and are distributed into the extracellular matrix.', 'NCAN N-terminal fragments interact directly with nuclear DNA to regulate gene expression.', 'NCAN N-terminal fragments stabilize microtubules near the nucleus to maintain cellular structure.', 'NCAN N-terminal fragments function as chaperone proteins within the endoplasmic reticulum.']",0,
529,103,What is the difference in localization between the NCAN N-terminal and C-terminal?,"Question:
A confocal fluorescence microscopy image of cultured human cells shows that the NCAN N-terminal colocalizes with perineuronal nets (PNNs) marked by Wisteria floribunda agglutinin (WFA), while the NCAN C-terminal is distributed throughout the parenchyma. What is the most likely explanation for the differential localization of NCAN N-terminal and C-terminal domains?","['The N-terminal domain interacts with extracellular matrix components, whereas the C-terminal domain associates with intracellular structures.', 'The N-terminal domain is responsible for nuclear localization, while the C-terminal domain facilitates membrane binding.', 'The N-terminal domain binds to microtubules, and the C-terminal domain interacts with actin filaments.', 'The N-terminal domain undergoes post-translational modifications, whereas the C-terminal domain remains unmodified.']",0,
530,103,Why are perineuronal nets localized around the membrane?,"Question:
A fluorescence microscopy image shows that perineuronal nets (PNNs) are localized around neuronal membranes, marked with Wisteria floribunda agglutinin (WFA). What is the most likely function of PNNs in this localization?","['Facilitating rapid action potential propagation', 'Stabilizing neuronal networks and supporting inhibitory synapses', 'Promoting axonal growth and regeneration', 'Enhancing neurotransmitter release at synaptic terminals']",1,
531,103,What does the colocalization of N-terminal and WFA tell us?,"Question:
A confocal fluorescence microscopy image shows NCAN N-terminal (pink) and C-terminal (cyan) localized at perineuronal nets (PNNs) marked with Wisteria floribunda agglutinin (WFA) in yellow. What does the colocalization of the NCAN N-terminal and WFA most likely indicate?","['The NCAN N-terminal is involved in axonal guidance within PNNs.', 'The NCAN N-terminal plays a role in the formation and function of perineuronal nets.', 'The NCAN N-terminal interacts with synaptic vesicles in neuronal communication.', 'The NCAN N-terminal is responsible for cell adhesion in migrating neurons.']",1,
532,103,Why is the NCAN C-terminal distributed throughout the extracellular matrix?,"Question:
A confocal fluorescence microscopy image shows NCAN N-terminal and C-terminal regions localized at perineuronal nets (PNNs) in cultured neurons. The C-terminal region is distributed throughout the extracellular matrix. What is the most likely reason for the widespread distribution of the NCAN C-terminal in the extracellular matrix?","['It inhibits neuronal signaling processes.', 'It participates in the enzymatic degradation of extracellular matrix components.', 'It facilitates cell adhesion within the extracellular matrix.', 'It binds growth factors to promote neuronal growth.']",2,
533,104,Why is the the green fluorescence distributed as shown in the image and how might it relate to its function?,"Question:
A fluorescence microscopy image displays naive neurons (Ctrl), α-syn-treated neurons (α-syn), naive neurons co-cultured with microglia (Ctrl+WT), and α-syn-treated neurons co-cultured with microglia (α-syn+WT) for 6 hours. The green fluorescence corresponds to TOM20, a marker for the outer mitochondrial membrane, and its distribution varies among the different treatment groups. What is the most likely functional implication of the observed distribution of TOM20 in α-syn-treated neurons co-cultured with microglia?","['Increased mitochondrial fission leading to fragmented mitochondria', 'Enhanced mitochondrial fusion resulting in elongated mitochondria', 'Reduced mitochondrial biogenesis decreasing the overall mitochondrial mass', 'Impaired mitochondrial transport affecting neuronal energy distribution']",1,
534,104,What is the difference between a-syn and cntrl?,"Question:
A study analyzed mitochondrial morphology in four groups of cultured human neurons: naive neurons (Ctrl), α-syn-treated neurons (α-syn), naive neurons co-cultured with microglia (Ctrl+WT), and α-syn-treated neurons co-cultured with microglia (α-syn+WT) over 6 hours. The results indicated differences in mitochondrial fragmentation among the groups. What is the most likely effect of α-syn treatment on mitochondrial fragmentation compared to control neurons?","['α-syn treatment increases mitochondrial fragmentation.', 'α-syn treatment decreases mitochondrial fragmentation.', 'α-syn treatment has no significant effect on mitochondrial fragmentation.', 'α-syn treatment induces mitochondrial elongation.']",1,
535,104,What can we do to see how the mitochondria localizes in the cell?,"Question:
In an experiment, naive neurons (Ctrl), α-syn-treated neurons (α-syn), naive neurons co-cultured with microglia (Ctrl+WT), and α-syn-treated neurons co-cultured with microglia (α-syn+WT) are treated for 6 hours, and mitochondrial elongation is quantified. What is the most appropriate method to determine the localization of mitochondria within these cells?","['Measure ATP production levels in the cells.', 'Assess mitochondrial membrane potential using a fluorescent dye.', 'Add other organelle markers to visualize mitochondrial interactions within the cells.', 'Quantify mitochondrial DNA content through PCR analysis.']",2,
536,104,How does adding the wild type change the morphology?,"Question:
In an experiment, naive neurons (Ctrl) and α-syn-treated neurons (α-syn) were co-cultured with wild type microglia (Ctrl+WT and α-syn+WT) for 6 hours to quantify mitochondrial elongation. How does adding wild type microglia affect the mitochondrial morphology in neurons treated with α-syn?","['It increases mitochondrial elongation, promoting neuronal survival', 'It causes mitochondrial fragmentation, serving as a comparison to abnormal cells', 'It has no significant effect on mitochondrial morphology', 'It enhances mitochondrial fusion, improving cellular function']",1,
537,104,How do the treated a-syn neurons alleviate fragmentation?,"Question:
A confocal fluorescence microscopy image of cultured human U2OS cells shows a lower intensity gap in microtubule staining within the cytokinetic bridge, accompanied by strong green staining for the protein ANLN. What specific structure within the cytokinetic bridge is indicated by this staining pattern?","['Prophase plate', 'Midbody', 'Cleavage furrow', 'Spindle pole']",1,
538,105,"What is unusual about the local resolution distribution in the receptor-binding domain (RBD) of the SARS-CoV-2 spike protein in {img_0}, and why is this significant for structural analysis?","Question:
In a study comparing two reconstruction methods of the SARS-CoV-2 spike protein, Image A displays the receptor-binding domain (RBD) with an unusually lower local resolution (indicated in red) compared to other regions. Why is this lower local resolution in the RBD significant for structural analysis?","['It indicates that the RBD has a higher degree of structural rigidity, facilitating detailed modeling.', 'Lower resolution suggests increased flexibility or mobility of the RBD, complicating high-resolution structural determination.', 'The reduced resolution in the RBD implies a higher density of atomic interactions, enhancing the stability of the spike protein.', 'Lower local resolution signifies fewer protein-protein interactions within the RBD, making it easier to target with therapeutics.']",1,
539,105,"In {img_1}, what is notable about the differences in the Fourier Shell Correlation (FSC) curves between the original and refined reconstructions, and how does this affect the interpretation of the structural data?","Question:
In an analysis of SARS-CoV-2 spike protein reconstructions, the Fourier Shell Correlation (FSC) curves for the original (gray) and refined (pink) models show that the refined reconstruction has a higher FSC at higher spatial frequencies. What does this difference most likely indicate about the refined reconstruction?","['The refined reconstruction has a lower overall resolution compared to the original.', 'The refined reconstruction has improved resolution, providing more detailed structural information.', 'The refined reconstruction exhibits increased noise, reducing the reliability of the structural data.', 'The refined reconstruction shows no significant change in resolution compared to the original.']",1,
540,105,"Why might the receptor-binding domain (RBD) in the SARS-CoV-2 spike protein, as highlighted in {img_0}, exhibit lower local resolution compared to other regions, and what are the possible mechanisms behind this observation?","Question:
A microscopy image displays reconstructions of the SARS-CoV-2 spike protein, highlighting the receptor-binding domain (RBD) in yellow. The RBD exhibits lower local resolution compared to other regions. What is the most likely reason for the lower resolution of the RBD in the image?","['The RBD region is more densely packed with proteins.', 'The RBD is a highly flexible region that adopts multiple conformations.', 'The staining protocol was less effective for the RBD.', 'The RBD interacts with the host cell receptor, increasing its size.']",1,
541,105,"Given the comparison in {img_1} between the original and refined reconstructions of the RBD, what could be the reason for the observed improvements in Q-score and real space features after patch-by-patch refinement, and what does this suggest about the initial reconstruction?","Question:
A study presents two reconstructions of the SARS-CoV-2 spike proteins receptor-binding domain (RBD). The original reconstruction uses standard angle assignments and is shown in gray, while the refined reconstruction employs a patch-by-patch approach targeting the RBD and is shown in pink. Image analysis reveals improvements in Q-score and real space features in the refined reconstruction compared to the original. What is the most likely reason for these observed improvements?","['The patch-by-patch refinement method increased the overall resolution of the entire spike protein.', 'The original global refinement was insufficient to resolve the RBD due to its flexibility or multiple conformations, and the patch-by-patch refinement allowed more focused optimization of this region.', 'The improved Q-score and real space features are likely due to better staining techniques used in the refined reconstruction.', 'The initial reconstruction contained computational errors that were corrected during the patch-by-patch refinement process.']",1,
542,105,"How might the choice of color coding by local resolution, as seen in {img_0}, affect the interpretation of structural variability in the SARS-CoV-2 spike protein, and what are the potential consequences of misinterpreting these color variations?","Question:
A microscopy image (img_0) of the SARS-CoV-2 spike protein is color-coded by local resolution, highlighting the receptor-binding domain (RBD) within a yellow box. How might the choice of color coding by local resolution affect the interpretation of structural variability in the SARS-CoV-2 spike protein, and what are the potential consequences of misinterpreting these color variations?","['Misinterpreting low-resolution areas as structurally flexible could lead to incorrect assumptions about protein dynamics and hinder accurate drug targeting.', ""Confusing high-resolution regions with areas of structural disorder might result in an underestimation of the protein's stability and function."", ""Misreading color-coded resolution could cause overestimation of the RBD's importance in viral infectivity, affecting vaccine design strategies."", 'Incorrect interpretation of color variations may lead to the assumption that all regions of the spike protein are uniformly stable, disregarding actual structural differences.']",0,
543,106,"What structural features in {img_1} indicate the functional importance of the receptor-binding domain (RBD) in the context of viral entry, and how might the observed additional density in the upper stalk region influence our understanding of spike protein functionality?","Question:
In a cryo-electron tomography image of HCoV-NL63 virions, the receptor-binding domain (RBD) is prominently marked, and additional density is observed in the upper stalk region of the spike protein. What is the most likely functional significance of these structural features?","['The RBD facilitates attachment to host cell receptors, while the upper stalk density indicates stabilization of the spike protein during receptor engagement.', 'The RBD is involved in viral RNA replication, and the upper stalk region plays a role in genome packaging.', 'The RBD is responsible for immune evasion, and the upper stalk density reflects interactions with viral proteases.', 'The RBD aids in spike protein dimerization, and the upper stalk region is involved in facilitating membrane fusion.']",0,
544,106,"How does the resolution of the subtomogram average presented in {img_1} compare to traditional single-particle cryo-EM approaches, and what implications does this have for understanding the heterogeneity of the spike protein's conformations?","Question:
A subtomogram average of the prefusion spike crown is achieved using cryo-electron tomography at a resolution of 6.9 Å, compared to traditional single-particle cryo-EM approaches with resolutions ranging from 3 to 10 Å. What is the primary implication of the 6.9 Å resolution obtained through subtomogram averaging for understanding the conformational heterogeneity of the spike protein?","['It allows for faster data processing compared to single-particle cryo-EM.', 'It enables more detailed visualization of different conformational states of the spike protein.', 'It reduces the need for sample preparation in cryo-electron tomography.', 'It limits the ability to observe dynamic changes in the spike protein structure.']",1,
545,106,"How does the identification of additional density in the upper stalk region of the spike protein in {img_1} enhance our understanding of potential interactions with host cell receptors, and what implications does this have for drug design?","Question:
In cryo-electron tomography studies of HCoV-NL63 virions, additional density was identified in the upper stalk region of the spike protein. What is the most likely implication of this finding for antiviral drug design?","['It suggests a new enzymatic activity that can be inhibited.', 'It indicates potential binding sites for host cell receptors that can be targeted.', ""It reveals the spike protein's instability, suggesting the need for stabilizing agents."", 'It shows that the virus does not utilize the upper stalk region in host interactions.']",1,
546,106,"What limitations might arise from using tomograms of HCoV-NL63 virions in {img_0} for understanding viral morphology, and how could these limitations affect subsequent structural analyses?","Question:
In cryo-electron tomography of HCoV-NL63 virions embedded in vitreous ice (Image {img_0}), what is a potential limitation that could affect the accuracy of viral morphology interpretation, and how might this limitation impact subsequent structural analyses?","['Limited resolution of cryo-electron tomography prevents visualization of large-scale structural features, hindering the identification of overall virion shape.', 'Motion blur from the dynamic nature of virions can obscure fine structural details, leading to incomplete or misleading information about viral morphology.', 'Excessive staining in vitreous ice enhances contrast but may introduce artifacts that falsely represent viral components.', 'Rapid freezing preserves native structures too effectively, making it difficult to manipulate and analyze virions during imaging.']",1,
547,106,"In analyzing the tomogram slice of HCoV-NL63 virions in {img_0}, what factors could influence the interpretation of viral structures, particularly regarding the distinction between intact virions and potential artifacts introduced during the imaging process?","Question:
In analyzing cryo-electron tomography images of HCoV-NL63 virions, which of the following factors is most likely to lead to misinterpretation of viral structures by introducing artifacts?","['The concentration of virions in the sample', 'The type of cryo-protectant used', 'The thickness of the vitreous ice layer surrounding the virions', 'The duration of virus culture before imaging']",2,
548,107,"In {img_1}, why might the cristae membranes (cyan) in Q18 mitochondria appear more intact compared to those in more severe HD genotypes, even though they are derived from the same type of iPSC-neurons?","Question:
Cryo-electron tomography (cryo-ET) images of mitochondria from neurites of Q18 human iPSC-neurons and more severe Huntingtons disease (HD) genotypes were analyzed. In the segmented and color-coded Image 1, the cristae membranes (cyan) in Q18 mitochondria appear more intact compared to those in more severe HD genotypes. What is the most likely reason for the observed integrity of cristae membranes in Q18 mitochondria?","['Increased expression of protective mitochondrial proteins in Q18 neurons', 'Q18 represents a less severe form of HD with fewer polyglutamine repeats in the huntingtin protein', 'Enhanced mitochondrial DNA replication in Q18 neurons', 'Greater availability of cellular ATP in Q18 neurons']",1,
